Initializing SD card...card initialized.
Timestamp (ISO8601),Pressure (Pa),Altitude AGL (m),Humidity (%),Temperature (°C)
0000-00-00T00:11:48:507,101051.242,-0.188,52.620,25.690
0000-00-00T00:11:48:579,101050.836,-0.155,52.660,25.660
0000-00-00T00:11:48:654,101050.492,-0.126,52.690,25.690
0000-00-00T00:11:48:726,101051.422,-0.203,52.750,25.660
0000-00-00T00:11:48:799,101052.086,-0.258,52.780,25.720
0000-00-00T00:11:48:871,101052.367,-0.283,52.830,25.690
0000-00-00T00:11:49:000,101052.320,-0.279,52.880,25.690
0000-00-00T00:11:49:072,101052.344,-0.281,52.970,25.690
0000-00-00T00:11:49:145,101052.367,-0.283,53.010,25.670
0000-00-00T00:11:49:217,101052.812,-0.320,53.060,25.690
0000-00-00T00:11:49:290,101052.477,-0.292,53.130,25.690
0000-00-00T00:11:49:365,101052.391,-0.285,53.130,25.690
0000-00-00T00:11:49:437,101053.148,-0.348,53.190,25.700
0000-00-00T00:11:49:515,101052.328,-0.279,53.280,25.690
0000-00-00T00:11:49:587,101052.648,-0.306,53.320,25.700
0000-00-00T00:11:49:659,101053.008,-0.336,53.370,25.700
0000-00-00T00:11:49:732,101052.969,-0.332,53.420,25.700
0000-00-00T00:11:49:804,101053.539,-0.380,53.450,25.690
0000-00-00T00:11:49:876,101052.148,-0.263,53.460,25.720
0000-00-00T00:11:49:949,101052.664,-0.307,53.500,25.720
0000-00-00T00:11:50:000,101051.867,-0.240,53.590,25.720
0000-00-00T00:11:50:072,101051.531,-0.212,53.630,25.720
0000-00-00T00:11:50:145,101051.711,-0.227,53.650,25.700
0000-00-00T00:11:50:217,101051.789,-0.234,53.680,25.700
0000-00-00T00:11:50:289,101052.008,-0.252,53.720,25.700
0000-00-00T00:11:50:361,101052.641,-0.306,53.720,25.700
0000-00-00T00:11:50:434,101052.148,-0.263,53.770,25.690
Initializing SD card...card initialized.
